I,0,4,7
vi6,0,4,9
IV64,0,5,9
ii,2,5,9
vii06,2,5,11
V64,2,7,11
iii,4,7,11
I6,4,7,0
vi64,4,9,0
IV,5,9,0
ii6,5,9,2
vii064,5,11,2
V,7,11,2
iii6,7,11,4
I64,7,0,4
vi,9,0,4
IV6,9,0,5
ii64,9,2,5
vii0,11,2,5
V6,11,2,7
iii64,11,4,7
i,0,3,7
VI6,0,3,8
iv64,0,5,8
ii0,2,5,8
VII6,2,5,10
V64,2,7,10
III,3,7,10
i,3,7,0
VI64,3,8,0
iv,5,8,0
ii06,5,8,2
vii064,5,10,2
v,7,10,2
III6,7,10,4
i64,7,0,3
VI,8,0,3
iv6,8,0,5
ii064,8,2,5
VII,10,2,5
v6,10,2,7
iii64,10,3,7
I7,0,4,7,11
I65,4,7,11,0
I43,7,11,0,4
I42,11,0,4,7
ii7,2,5,9,0
ii65,5,9,0,2
ii43,9,0,2,5
ii42,0,2,5,9
iii7,4,7,11,2
iii65,7,11,2,4
iii43,11,2,4,7
iii42,2,4,7,11
IV7,5,9,0,4
IV65,9,0,4,5
IV43,0,4,5,9
IV42,4,5,9,0
V7,7,11,2,5
V65,11,2,5,7
V43,2,5,7,11
V42,5,7,11,2
vi7,9,0,4,7
vi65,0,4,7,9
vi43,4,7,9,0
vi42,7,9,0,4
viiø7,11,2,5,9
viiø65,2,5,9,11
viiø43,5,9,11,2
viiø42,9,11,2,5
i7,0,3,7,10
i65,3,7,10,0
i43,7,10,0,3
i42,10,0,3,7
iiø7,2,5,8,0
iiø65,5,8,0,2
iiø43,8,0,2,5
iiø42,0,2,5,8
III7,3,7,10,2
III65,7,10,2,3
III43,10,2,3,7
III42,2,3,7,10
iv7,5,8,0,3
iv65,8,0,3,5
iv43,0,3,5,8
iv42,3,5,8,0
v7,7,10,2,5
v65,10,2,5,7
v43,2,5,7,10
v42,5,7,10,2
VI7,8,0,3,7
VI65,0,3,7,8
VI43,3,7,8,0
VI42,7,8,0,3
VII7,10,2,5,9
VII65,2,5,9,10
VII43,5,9,10,2
VII42,9,10,2,5
vii07,11,2,5,8
vii065,2,5,8,11
vii043,5,8,11,2
vii042,8,11,2,5
N6,5,8,1
Ger+6,8,0,3,6
Ger+6,0,3,6,8
Ger+6,3,6,8,0
Ger+6,6,8,0,3
It+6,8,0,6
Sw+6,8,0,3,6
V7/IV,0,4,7,10
V65/iV,4,7,10,0
V43/IV,7,10,0,4
V42/IV,10,0,4,7
V7/V,2,6,9,0
V65/V,6,9,0,2
V43/V,9,0,2,6
V42/V,0,2,6,9
V7/vi,4,8,11,2
V65/vi,8,11,2,4
V43/vi,11,2,4,8
V42/vi,2,4,8,11
V7/iii,11,3,6,9
V65/iii,3,6,9,11
V43/iii,6,9,11,3
V42/iii,9,11,3,6
V7/III,10,2,5,8
V65/III,2,5,8,10
V43/III,5,8,10,2
V42/III,8,10,2,5
V7/ii,9,1,4,7
V65/ii,1,4,7,9
V43/ii,4,7,9,1
V42/ii,7,9,1,4
V/V,2,6,9
V6/V,6,9,2
V64/V,9,2,6
V/vi,4,8,11
V6/vi,8,11,4
V64/vi,11,4,8
V/iii,11,3,6
V6/iii,3,6,11
V64/iii,6,11,3
V/ii,9,1,4
V6/ii,1,4,9
V64/ii,4,9,1
V7/vii,5,9,0,3
V65/vii,9,0,3,5
V43/vii,0,3,5,9
V42/vii,3,5,9,0
bII,1,5,8
bII6,5,8,1
bII64,8,1,5
VII7,1,5,8,0
bvii7,10,1,5,8
bvii65,1,5,8,10
bvii43,5,8,10,1
bvii42,8,10,1,5
V7+/ii,9,1,4,8
V65+/ii,1,4,8,9
V43+/ii,4,8,9,1
V+42/ii,8,9,1,4
V7/VI,3,7,10,1
V65/VI,7,10,1,3
V43/VI,10,1,3,7
V42/VI,1,3,7,10
ivo,5,8,11
ivo6,8,11,5
ivo64,11,5,8
V7+,7,11,2,6
V65+,11,2,6,7
V43+,2,6,7,11
V+42,6,7,11,2
vii,11,2,6
vii6,2,6,11
vii64,6,11,2
bV+,6,10,2
bV63+,10,2,6
bV+64,2,6,10
I+,0,4,8
I63+,4,8,0
I+64,8,4,0
IV+,5,9,1
IV6+,9,1,5
IV64+,1,5,9
bV,6,10,1
bV6,10,1,6
bV64,1,6,10
bv,6,9,1
bv6,9,1,6
bv64,1,6,9
vii0/V,6,9,0
vii06/V,9,0,6
vii064/V,0,6,9
vii07/V,6,9,0,3
vii065/V,9,0,3,6
vii043/V,0,3,6,9
vii042/V,3,6,9,0
vii0/IV,4,7,10
vii06/IV,7,10,4
vii064/IV,10,4,7
vii07/IV,4,7,10,1
vii065/IV,7,10,1,4
vii043/IV,10,1,4,7
vii042/IV,1,4,7,10
vii0/vi,8,11,2
vii06/vi,11,2,8
vii064/vi,2,8,11
vii07/vi,8,11,2,5
vii065/vi,11,2,5,8
vii043/vi,2,5,8,11
vii042/vi,5,8,11,2
